adverse,LLT
sinusitis,[10040753]
skin abrasion,[10064990]
skin bleeding,[10058677]
skin burning sensation,[10054786]
skin callus,[10057981]
skin cancer,[10040808]
skin depigmentation,[10040825]
skin discoloration,[10040828]
skin discolouration,[10040829]
skin discomfort,[10040830]
skin greasy,[10040858]
skin hyperpigmentation,[10040865]
skin infection,[10040872]
skin inflammation,[10062249]
skin injury,[10061364]
skin irritation,[10040880]
skin laceration,[10058818]
skin peeling,[10040908]
skin pigmentation,[10040910]
skin rash,[10040913]
skin red,[10040916]
skin scaly,[10040920]
skin swelling,[10053262]
skin thinness,[10040937]
skin tightness,[10050637]
skin ulcer,[10040943]
skin warm,[10040952]
skin wrinkling,[10040954]
skull fracture,[10061365]
sleep apnea,[10040975]
sleep apnoea,[10040977]
sleep disturbed,[10040999]
sleep excessive,[10041000]
sleep restless,[10041007]
sleep talking,[10041009]
sleep walking,[10041012]
sleepiness,[10041014]
sleeplessness,[10041017]
sleepy,[10041018]
slow speech,[10071299]
slowed thinking,[10041049]
sluggishness,[10041052]
slurred speech,[10041053]
sneezing,[10041232]
snoring,[10041235]
soft stools,[10048838]
sore gums,[10041359]
sore mouth,[10041362]
sore throat,[10041367]
sore tongue,[10041369]
sores mouth,[10049318]
sound sensitivity increased,[10070539]
spaced out,[10041374]
spasm eyelid,[10041384]
speech loss,[10041470]
spider vein,[10062696]
spina bifida,[10041524]
spinal cord injury,[10041552]
spinal fracture,[10041569]
spinning sensation,[10041619]
spleen enlarged,[10041637]
spots before eyes,[10041741]
spotting between menses,[10041744]
spotting menstrual,[10041745]
spotting vaginal,[10048821]
sprain,[10041747]
sputum discolored,[10041806]
sputum discoloured,[10041807]
sputum increased,[10041812]
squamous cell carcinoma,[10041823]
squamous cell carcinoma of skin,[10041834]
squint,[10041884]
staggering,[10041902]
staring,[10041953]
stiff neck,[10042043]
stiffness,[10042045]
stillbirth,[10042062]
stinging,[10042066]
stomach ache,[10042076]
stomach cramps,[10049901]
stomach discomfort,[10042101]
stomach pain,[10042112]
stomach ulcer,[10042116]
stomach upset,[10042124]
stools hard,[10042155]
stools watery,[10042157]
strength loss of,[10042174]
stress,[10042209]
stress fracture,[10042212]
stretch marks,[10042222]
stroke,[10042244]
stupor,[10042264]
stuttering,[10042267]
substance abuse,[10066169]
sudden hearing loss,[10061373]
suffocation feeling,[10042444]
suicidal behaviour,[10065604]
suicidal depression,[10042457]
suicidal ideation,[10042458]
suicidal intention,[10068557]
suicidal tendency,[10042461]
suicide attempt,[10042464]
sun sensitivity,[10042494]
sunburn,[10042496]
suspected counterfeit product,[10071287]
swallowing difficult,[10042645]
swallowing painful,[10042648]
sweating,[10042661]
swelling,[10042674]
swelling arm,[10042680]
swelling of feet,[10042693]
swelling of fingers,[10042694]
swelling of hands,[10042695]
swelling of legs,[10042700]
swelling of limbs,[10042702]
swelling of tongue,[10042706]
swollen abdomen,[10042714]
swollen ankles,[10042715]
swollen eyelid,[10042718]
swollen eyes,[10042719]
swollen glands,[10042720]
swollen lips,[10042723]
swollen lymph nodes,[10067201]
swollen mouth,[10042724]
swollen tongue,[10042727]
systemic lupus erythematosus,[10042945]
talkativeness,[10043111]
tarry stools,[10043119]
taste alteration,[10043125]
taste bitter,[10043127]
taste changed,[10043129]
taste diminished,[10043130]
taste metallic,[10043135]
tearfulness,[10043169]
teary eyes,[10043172]
teeth chattering,[10043174]
teeth clenching,[10057326]
teeth grinding,[10043176]
teeth staining,[10043180]
temporary vision loss,[10053620]
tenderness,[10043224]
tendon injury,[10043242]
tendon pain,[10066371]
tendon rupture,[10043248]
tension,[10043268]
tension headache,[10043269]
testicular pain,[10043345]
testicular swelling,[10043354]
thinking irrational,[10043435]
thirst,[10043458]
thoracic pain,[10043471]
thoughts of self harm,[10043498]
throat cancer,[10043515]
throat infection,[10043520]
throat irritation,[10043521]
throat pain,[10043523]
throat swelling,[10043525]
throat tightness,[10043528]
thrombophlebitis,[10043570]
thrombosis,[10043607]
thrombosis arm,[10043610]
thrombosis leg,[10043623]
thrush,[10043649]
thyroid cancer,[10066474]
thyroid enlarged,[10043723]
thyroid function decreased,[10043727]
thyroid function test abnormal,[10043730]
tic,[10043833]
tingling,[10043876]
tingling feet/hands,[10043877]
tingling lips,[10049355]
tingling mouth,[10049315]
tingling sensation,[10043880]
tingling skin,[10043881]
tingling tongue ,[10049373]
tinnitus,[10043882]
tired all the time,[10043885]
tired out,[10043889]
tiredness,[10043890]
tongue biting,[10050467]
tongue blistering,[10043942]
tongue discoloration,[10043948]
tongue discolouration,[10043949]
tongue dry,[10049713]
tongue edema,[10043955]
tongue inflammation,[10043961]
tongue injury,[10059924]
tongue irritation,[10043962]
tongue pain,[10043969]
tongue redness,[10043976]
tongue white,[10043993]
tonsillitis,[10044008]
tooth abscess,[10044016]
tooth decay,[10044027]
tooth discoloration,[10044031]
tooth discolouration,[10044032]
tooth erosion,[10044038]
tooth fracture,[10062544]
tooth infection,[10048762]
tooth loss,[10044044]
toothache,[10044055]
touch sensitivity increased,[10044124]
trembling,[10044563]
tremor,[10044565]
tremor limb,[10044572]
tremor of hands,[10044577]
trouble falling asleep,[10044698]
tuberculosis,[10044755]
tunnel vision,[10045178]
twitching,[10045198]
twitching facial,[10045200]
twitching of limbs,[10045203]
type 1 diabetes mellitus,[10067584]
type 2 diabetes mellitus,[10067585]
ulcer,[10045285]
ulcer bleeding,[10071907]
ulcerative colitis,[10045365]
umbilical hernia,[10045458]
unable to eat,[10069830]
unable to walk,[10049278]
unconsciousness,[10045481]
uncontrollable crying,[10045482]
unintended pregnancy,[10045542]
unsteadiness,[10046260]
unsteady gait,[10046261]
upper abdominal pain,[10046272]
upper back pain,[10046273]
upper gastrointestinal bleeding,[10071910]
upper limb fracture,[10061394]
upper respiratory tract congestion,[10052252]
upper respiratory tract infection,[10046306]
upset stomach,[10046318]
urinary incontinence,[10046543]
urinary retention,[10046555]
urinary tract infection,[10046571]
urination difficulty,[10046599]
urine color abnormal,[10064752]
urine colour abnormal,[10064748]
urine flow decreased,[10046640]
urine odor abnormal,[10074143]
urine odour abnormal,[10057135]
uterine bleeding,[10046765]
uterine cancer,[10046766]
uterine pain,[10046809]
uterine polyp,[10046811]
uterine spasm,[10046823]
vaccination site inflammation,[10068878]
vaccination site pain,[10068879]
vaccination site swelling,[10069620]
vaccination site tenderness,[10069631]
vaccination site warmth,[10069624]
vaginal bleeding,[10046883]
vaginal burning sensation,[10050023]
vaginal discharge,[10046901]
vaginal discomfort,[10046902]
vaginal dryness,[10046904]
vaginal infection,[10046914]
vaginal inflammation,[10046916]
vaginal irritation,[10048903]
vaginal itching,[10046918]
vaginal odor,[10055430]
vaginal odour,[10046935]
vaginal pain,[10046937]
vaginal yeast infection,[10046946]
varicose veins,[10047001]
vasculitis,[10047115]
vertigo,[10047340]
violent,[10047427]
violent behavior,[10057073]
violent behaviour,[10047428]
violent thoughts,[10047429]
viral infection,[10047461]
vision abnormal,[10047508]
vision decreased,[10047516]
vision loss,[10047522]
visual acuity decreased,[10049061]
visual disturbance,[10047543]
visual flashes,[10047569]
visual hallucinations,[10047570]
visual impairment,[10047571]
vivid dreams,[10047666]
voice disturbance,[10047682]
vomiting,[10047700]
vomiting blood,[10047702]
vomiting projectile,[10047708]
wart,[10047825]
water retention,[10047839]
watering eyes,[10047848]
watery diarrhea,[10055422]
watery diarrhoea,[10047849]
weakness,[10047862]
weakness generalised,[10047864]
weakness generalized,[10047865]
weakness left or right side,[10047866]
weakness of arms,[10050379]
weakness of limbs,[10047868]
weepy,[10047887]
weight bearing difficulty,[10066454]
weight fluctuation,[10049040]
weight gain,[10047896]
weight loss,[10047900]
weird feeling,[10047904]
welts,[10047906]
wheals,[10047918]
wheeze,[10047921]
wheezing,[10047924]
whooping cough,[10047974]
withdrawal reaction,[10048008]
withdrawn,[10048013]
woozy,[10048019]
word finding difficulty,[10067711]
worn out,[10048024]
worry,[10048025]
wound,[10052428]
wound bleeding,[10051386]
wound healing delayed,[10048036]
wound infection,[10048038]
wrist fracture,[10048049]
wrist pain,[10048692]
writing impaired,[10048053]
yawning,[10048232]
yeast infection,[10049080]
yeast infection of the mouth,[10058087]
yellow skin,[10048245]
