Lower,Upper,Proper
coming off effexor is not fun,COMING OFF EFFEXOR IS NOT FUN,Coming Off Effexor Is Not Fun
no appetite,NO APPETITE,No Appetite
coming off effexor was the worst,COMING OFF EFFEXOR WAS THE WORST,Coming Off Effexor Was The Worst
irritability,IRRITABILITY,Irritability
rebound,REBOUND,Rebound
eyes worse,EYES WORSE,Eyes Worse
not feeling good,NOT FEELING GOOD,Not Feeling Good
zap me of all energy,ZAP ME OF ALL ENERGY,Zap Me Of All Energy
see shapes,SEE SHAPES,See Shapes
feel like i can't even stand,FEEL LIKE I CAN'T EVEN STAND,Feel Like I Can'T Even Stand
paraesthesia,PARAESTHESIA,Paraesthesia
14 hour nap,14 HOUR NAP,14 Hour Nap
restless leg syndrome,RESTLESS LEG SYNDROME,Restless Leg Syndrome
messed up my attitude,MESSED UP MY ATTITUDE,Messed Up My Attitude
mean,MEAN,Mean
pale,PALE,Pale
lost tons of weight,LOST TONS OF WEIGHT,Lost Tons Of Weight
fuzziness,FUZZINESS,Fuzziness
flare,FLARE,Flare
like i'm having a heart attack,LIKE I'M HAVING A HEART ATTACK,Like I'M Having A Heart Attack
panic attack,PANIC ATTACK,Panic Attack
wreck my head,WRECK MY HEAD,Wreck My Head
wt loss,WT LOSS,Wt Loss
irritating my nerve endings,IRRITATING MY NERVE ENDINGS,Irritating My Nerve Endings
yucky,YUCKY,Yucky
steven johnson syndrome,STEVEN JOHNSON SYNDROME,Steven Johnson Syndrome
3 days of hell,3 DAYS OF HELL,3 Days Of Hell
allergic reaction ,ALLERGIC REACTION ,Allergic Reaction 
poisoned,POISONED,Poisoned
hallucinate,HALLUCINATE,Hallucinate
stomach cramps,STOMACH CRAMPS,Stomach Cramps
almost vomited,ALMOST VOMITED,Almost Vomited
sweatin,SWEATIN,Sweatin
depression.,DEPRESSION.,Depression.
sick to my stomach,SICK TO MY STOMACH,Sick To My Stomach
like wading through treacle getting up,LIKE WADING THROUGH TREACLE GETTING UP,Like Wading Through Treacle Getting Up
hunger inducing,HUNGER INDUCING,Hunger Inducing
binge,BINGE,Binge
olanzapine lbs,OLANZAPINE LBS,Olanzapine Lbs
gained 3stone,GAINED 3STONE,Gained 3Stone
acne,ACNE,Acne
gain 20 lbs,GAIN 20 LBS,Gain 20 Lbs
impossible to cry,IMPOSSIBLE TO CRY,Impossible To Cry
slow,SLOW,Slow
come too fast,COME TOO FAST,Come Too Fast
pee so often,PEE SO OFTEN,Pee So Often
feel like crap,FEEL LIKE CRAP,Feel Like Crap
forgetting,FORGETTING,Forgetting
impotency,IMPOTENCY,Impotency
don't feel fully human,DON'T FEEL FULLY HUMAN,Don'T Feel Fully Human
exhaustion ,EXHAUSTION ,Exhaustion 
may not switch your brain off,MAY NOT SWITCH YOUR BRAIN OFF,May Not Switch Your Brain Off
never sleep,NEVER SLEEP,Never Sleep
twice as drunk,TWICE AS DRUNK,Twice As Drunk
bad dreams,BAD DREAMS,Bad Dreams
just about dead,JUST ABOUT DEAD,Just About Dead
tiiiiired,TIIIIIRED,Tiiiiired
sleeping my life away,SLEEPING MY LIFE AWAY,Sleeping My Life Away
numbness,NUMBNESS,Numbness
tingling,TINGLING,Tingling
portions prob too big,PORTIONS PROB TOO BIG,Portions Prob Too Big
heart arrhythmia,HEART ARRHYTHMIA,Heart Arrhythmia
dizzing,DIZZING,Dizzing
tiredness,TIREDNESS,Tiredness
sun sensitivity,SUN SENSITIVITY,Sun Sensitivity
shoulder ache,SHOULDER ACHE,Shoulder Ache
pain in neck,PAIN IN NECK,Pain In Neck
legs,LEGS,Legs
crabby,CRABBY,Crabby
sluggish and groggy,SLUGGISH AND GROGGY,Sluggish And Groggy
lightheadeded ,LIGHTHEADEDED ,Lightheadeded 
gain 18 kg,GAIN 18 KG,Gain 18 Kg
get the horn my life,GET THE HORN MY LIFE,Get The Horn My Life
sleeping 15 hrs,SLEEPING 15 HRS,Sleeping 15 Hrs
crazy shit in my dreams,CRAZY SHIT IN MY DREAMS,Crazy Shit In My Dreams
nap time,NAP TIME,Nap Time
passes out,PASSES OUT,Passes Out
zombiness,ZOMBINESS,Zombiness
memory loss,MEMORY LOSS,Memory Loss
gained weight,GAINED WEIGHT,Gained Weight
loopy,LOOPY,Loopy
dry-mouth,DRY-MOUTH,Dry-Mouth
sinuses close up,SINUSES CLOSE UP,Sinuses Close Up
screwing with my memory,SCREWING WITH MY MEMORY,Screwing With My Memory
lucidity ,LUCIDITY ,Lucidity 
zombie-ness,ZOMBIE-NESS,Zombie-Ness
rls,RLS,Rls
fucked up,FUCKED UP,Fucked Up
crazy ish,CRAZY ISH,Crazy Ish
taken control of my eyes,TAKEN CONTROL OF MY EYES,Taken Control Of My Eyes
zombieish,ZOMBIEISH,Zombieish
crazy dreams,CRAZY DREAMS,Crazy Dreams
priapism,PRIAPISM,Priapism
sleep for dayyssss,SLEEP FOR DAYYSSSS,Sleep For Dayyssss
sleep for 11 hours,SLEEP FOR 11 HOURS,Sleep For 11 Hours
troubles waking up,TROUBLES WAKING UP,Troubles Waking Up
dopey,DOPEY,Dopey
barely keep my eyes open,BARELY KEEP MY EYES OPEN,Barely Keep My Eyes Open
dream all types of crazy,DREAM ALL TYPES OF CRAZY,Dream All Types Of Crazy
hives,HIVES,Hives
dry eyes,DRY EYES,Dry Eyes
veins,VEINS,Veins
immune system went poof,IMMUNE SYSTEM WENT POOF,Immune System Went Poof
light nights sleep,LIGHT NIGHTS SLEEP,Light Nights Sleep
disturbed sleep,DISTURBED SLEEP,Disturbed Sleep
itchy skin ,ITCHY SKIN ,Itchy Skin 
siiiiiiiiiiiiiiick,SIIIIIIIIIIIIIIICK,Siiiiiiiiiiiiiiick
electric shocks in your brain,ELECTRIC SHOCKS IN YOUR BRAIN,Electric Shocks In Your Brain
messed up my sleep,MESSED UP MY SLEEP,Messed Up My Sleep
kidneys have been swollen,KIDNEYS HAVE BEEN SWOLLEN,Kidneys Have Been Swollen
jacked up,JACKED UP,Jacked Up
stomach hurt,STOMACH HURT,Stomach Hurt
heart attack,HEART ATTACK,Heart Attack
irritable,IRRITABLE,Irritable
crazier,CRAZIER,Crazier
stressful,STRESSFUL,Stressful
brain is melting,BRAIN IS MELTING,Brain Is Melting
anger,ANGER,Anger
sleeping schedule of a fucking vampire,SLEEPING SCHEDULE OF A FUCKING VAMPIRE,Sleeping Schedule Of A Fucking Vampire
lost 17 pounds,LOST 17 POUNDS,Lost 17 Pounds
tweak,TWEAK,Tweak
tweaking,TWEAKING,Tweaking
tweakin out,TWEAKIN OUT,Tweakin Out
grinds the shit out of their teeth,GRINDS THE SHIT OUT OF THEIR TEETH,Grinds The Shit Out Of Their Teeth
rid of my appetite,RID OF MY APPETITE,Rid Of My Appetite
hot,HOT,Hot
heart was hurting,HEART WAS HURTING,Heart Was Hurting
twerk me out,TWERK ME OUT,Twerk Me Out
all nighter,ALL NIGHTER,All Nighter
can't sleep,CAN'T SLEEP,Can'T Sleep
haven't slept,HAVEN'T SLEPT,Haven'T Slept
brain so retarded,BRAIN SO RETARDED,Brain So Retarded
"just eat, and eat","JUST EAT, AND EAT","Just Eat, And Eat"
sleep walking,SLEEP WALKING,Sleep Walking
central nervous system breakdown,CENTRAL NERVOUS SYSTEM BREAKDOWN,Central Nervous System Breakdown
fog,FOG,Fog
 tired, TIRED, Tired
gorked,GORKED,Gorked
make me a bigger asshole,MAKE ME A BIGGER ASSHOLE,Make Me A Bigger Asshole
dry nose,DRY NOSE,Dry Nose
throat,THROAT,Throat
erectile dysfunction,ERECTILE DYSFUNCTION,Erectile Dysfunction
halitosis,HALITOSIS,Halitosis
disable,DISABLE,Disable
felt like chemo,FELT LIKE CHEMO,Felt Like Chemo
vampire,VAMPIRE,Vampire
bedridden,BEDRIDDEN,Bedridden
destroyed my entire body,DESTROYED MY ENTIRE BODY,Destroyed My Entire Body
"killing""  my tummy","KILLING""  MY TUMMY","Killing""  My Tummy"
septic c diff,SEPTIC C DIFF,Septic C Diff
gastic upset,GASTIC UPSET,Gastic Upset
can't run,CAN'T RUN,Can'T Run
nearly killed me,NEARLY KILLED ME,Nearly Killed Me
dying,DYING,Dying
might notice if i got hit in the crotch w/ a lance in a jousting accident,MIGHT NOTICE IF I GOT HIT IN THE CROTCH W/ A LANCE IN A JOUSTING ACCIDENT,Might Notice If I Got Hit In The Crotch W/ A Lance In A Jousting Accident
discomfort,DISCOMFORT,Discomfort
stress incontinence,STRESS INCONTINENCE,Stress Incontinence
 like niagara falls when i cough, LIKE NIAGARA FALLS WHEN I COUGH, Like Niagara Falls When I Cough
could not orgasm,COULD NOT ORGASM,Could Not Orgasm
raised my blood pressure,RAISED MY BLOOD PRESSURE,Raised My Blood Pressure
constipation,CONSTIPATION,Constipation
diarrhea,DIARRHEA,Diarrhea
thoughts of suicide,THOUGHTS OF SUICIDE,Thoughts Of Suicide
miserable,MISERABLE,Miserable
exhausting,EXHAUSTING,Exhausting
slept 10 hrs,SLEPT 10 HRS,Slept 10 Hrs
heart started lurching,HEART STARTED LURCHING,Heart Started Lurching
coming off cymbalta sucks,COMING OFF CYMBALTA SUCKS,Coming Off Cymbalta Sucks
getting off of it is hell,GETTING OFF OF IT IS HELL,Getting Off Of It Is Hell
interacts,INTERACTS,Interacts
feels like the sahara desert in my mouth,FEELS LIKE THE SAHARA DESERT IN MY MOUTH,Feels Like The Sahara Desert In My Mouth
mouth is painfully dry,MOUTH IS PAINFULLY DRY,Mouth Is Painfully Dry
thirsty,THIRSTY,Thirsty
turn peaceful people into the hulk,TURN PEACEFUL PEOPLE INTO THE HULK,Turn Peaceful People Into The Hulk
feel sooooooo weird,FEEL SOOOOOOO WEIRD,Feel Sooooooo Weird
anxious,ANXIOUS,Anxious
head is spinning,HEAD IS SPINNING,Head Is Spinning
blood pressure low,BLOOD PRESSURE LOW,Blood Pressure Low
appetite is still terrible,APPETITE IS STILL TERRIBLE,Appetite Is Still Terrible
driving me insane,DRIVING ME INSANE,Driving Me Insane
withdrawal ,WITHDRAWAL ,Withdrawal 
asleep 24/7,ASLEEP 24/7,Asleep 24/7
jaw clenching,JAW CLENCHING,Jaw Clenching
loss of appetite,LOSS OF APPETITE,Loss Of Appetite
feels like when you come off heroin,FEELS LIKE WHEN YOU COME OFF HEROIN,Feels Like When You Come Off Heroin
wrecked,WRECKED,Wrecked
 withdrawal, WITHDRAWAL, Withdrawal
lightheaded,LIGHTHEADED,Lightheaded
quality,QUALITY,Quality
sleep cycle,SLEEP CYCLE,Sleep Cycle
stomach discomfort,STOMACH DISCOMFORT,Stomach Discomfort
flushed,FLUSHED,Flushed
jaw,JAW,Jaw
sweating,SWEATING,Sweating
kills my libido,KILLS MY LIBIDO,Kills My Libido
boner killer,BONER KILLER,Boner Killer
shaky,SHAKY,Shaky
stomach ache,STOMACH ACHE,Stomach Ache
feeling like a train wreck,FEELING LIKE A TRAIN WRECK,Feeling Like A Train Wreck
ability to cum,ABILITY TO CUM,Ability To Cum
feeling high,FEELING HIGH,Feeling High
unresponsible,UNRESPONSIBLE,Unresponsible
sucidal thoughts,SUCIDAL THOUGHTS,Sucidal Thoughts
gained 80 pounds,GAINED 80 POUNDS,Gained 80 Pounds
not making me feel so awesome.,NOT MAKING ME FEEL SO AWESOME.,Not Making Me Feel So Awesome.
memory damage,MEMORY DAMAGE,Memory Damage
falling into a realm of utter disillusion,FALLING INTO A REALM OF UTTER DISILLUSION,Falling Into A Realm Of Utter Disillusion
feel like you're on your death bed,FEEL LIKE YOU'RE ON YOUR DEATH BED,Feel Like You'Re On Your Death Bed
don't have the energy,DON'T HAVE THE ENERGY,Don'T Have The Energy
heart rate,HEART RATE,Heart Rate
blurry vision,BLURRY VISION,Blurry Vision
dilated pupils,DILATED PUPILS,Dilated Pupils
 bloodbath, BLOODBATH, Bloodbath
stop breathin,STOP BREATHIN,Stop Breathin
feeling ill,FEELING ILL,Feeling Ill
awake all night,AWAKE ALL NIGHT,Awake All Night
feeling like absolute shit,FEELING LIKE ABSOLUTE SHIT,Feeling Like Absolute Shit
space me out,SPACE ME OUT,Space Me Out
tiered,TIERED,Tiered
plot to steal my thoughts,PLOT TO STEAL MY THOUGHTS,Plot To Steal My Thoughts
lost 4 stone,LOST 4 STONE,Lost 4 Stone
burping,BURPING,Burping
sleepies,SLEEPIES,Sleepies
knocked me out,KNOCKED ME OUT,Knocked Me Out
panic attacks,PANIC ATTACKS,Panic Attacks
lose my temper,LOSE MY TEMPER,Lose My Temper
stops you from jizzing,STOPS YOU FROM JIZZING,Stops You From Jizzing
suicidal thoughts,SUICIDAL THOUGHTS,Suicidal Thoughts
restless leg syndrome ,RESTLESS LEG SYNDROME ,Restless Leg Syndrome 
reaction,REACTION,Reaction
feel like shit,FEEL LIKE SHIT,Feel Like Shit
killed my libido,KILLED MY LIBIDO,Killed My Libido
want to be sick,WANT TO BE SICK,Want To Be Sick
dead from the waist down,DEAD FROM THE WAIST DOWN,Dead From The Waist Down
yawn,YAWN,Yawn
crazy,CRAZY,Crazy
sweaty,SWEATY,Sweaty
potato drug bcuz that's what i looked like,POTATO DRUG BCUZ THAT'S WHAT I LOOKED LIKE,Potato Drug Bcuz That'S What I Looked Like
throat is raw,THROAT IS RAW,Throat Is Raw
puking,PUKING,Puking
lost effectiveness,LOST EFFECTIVENESS,Lost Effectiveness
beat up,BEAT UP,Beat Up
loosing so much blood,LOOSING SO MUCH BLOOD,Loosing So Much Blood
bloat,BLOAT,Bloat
urinary track infections,URINARY TRACK INFECTIONS,Urinary Track Infections
hurting,HURTING,Hurting
nuasea,NUASEA,Nuasea
low grade temp,LOW GRADE TEMP,Low Grade Temp
burned,BURNED,Burned
after-sting,AFTER-STING,After-Sting
knocking me about,KNOCKING ME ABOUT,Knocking Me About
pooped out,POOPED OUT,Pooped Out
felt like acid,FELT LIKE ACID,Felt Like Acid
lupus flare,LUPUS FLARE,Lupus Flare
doesn't even work for me anymore,DOESN'T EVEN WORK FOR ME ANYMORE,Doesn'T Even Work For Me Anymore
wear-off,WEAR-OFF,Wear-Off
sting,STING,Sting
burn my veins,BURN MY VEINS,Burn My Veins
respiratory probs,RESPIRATORY PROBS,Respiratory Probs
chest infections,CHEST INFECTIONS,Chest Infections
lung ,LUNG ,Lung 
raging,RAGING,Raging
feel hot,FEEL HOT,Feel Hot
sjs,SJS,Sjs
add,ADD,Add
attention-killing,ATTENTION-KILLING,Attention-Killing
memory,MEMORY,Memory
flat,FLAT,Flat
gaining weight,GAINING WEIGHT,Gaining Weight
skin issues,SKIN ISSUES,Skin Issues
starving,STARVING,Starving
fewer hours sleep,FEWER HOURS SLEEP,Fewer Hours Sleep
won't sleep,WON'T SLEEP,Won'T Sleep
grumpy,GRUMPY,Grumpy
disconnected,DISCONNECTED,Disconnected
tummy,TUMMY,Tummy
dyslexic,DYSLEXIC,Dyslexic
hyper-sensitive,HYPER-SENSITIVE,Hyper-Sensitive
dreadful nights sleep,DREADFUL NIGHTS SLEEP,Dreadful Nights Sleep
poor sleep,POOR SLEEP,Poor Sleep
cry ,CRY ,Cry 
staying up all night,STAYING UP ALL NIGHT,Staying Up All Night
tipped me to a dark place,TIPPED ME TO A DARK PLACE,Tipped Me To A Dark Place
night terrors,NIGHT TERRORS,Night Terrors
hard to digest,HARD TO DIGEST,Hard To Digest
vasovagal pre-syncope,VASOVAGAL PRE-SYNCOPE,Vasovagal Pre-Syncope
pain in my joints,PAIN IN MY JOINTS,Pain In My Joints
cannot be in the sun,CANNOT BE IN THE SUN,Cannot Be In The Sun
vomiting,VOMITING,Vomiting
cant feel my throat,CANT FEEL MY THROAT,Cant Feel My Throat
cant feel my mouth,CANT FEEL MY MOUTH,Cant Feel My Mouth
needing my inhaler,NEEDING MY INHALER,Needing My Inhaler
rash ,RASH ,Rash 
chest pain,CHEST PAIN,Chest Pain
stuffy sinuses,STUFFY SINUSES,Stuffy Sinuses
driving my fucking mind up the fucking wall,DRIVING MY FUCKING MIND UP THE FUCKING WALL,Driving My Fucking Mind Up The Fucking Wall
rip out my teeth,RIP OUT MY TEETH,Rip Out My Teeth
craving,CRAVING,Craving
cant sleep,CANT SLEEP,Cant Sleep
withdraw,WITHDRAW,Withdraw
cough,COUGH,Cough
 withdrawls, WITHDRAWLS, Withdrawls
going to my head,GOING TO MY HEAD,Going To My Head
moods are void of stability,MOODS ARE VOID OF STABILITY,Moods Are Void Of Stability
barely able to stay awake,BARELY ABLE TO STAY AWAKE,Barely Able To Stay Awake
put much weight on,PUT MUCH WEIGHT ON,Put Much Weight On
restless,RESTLESS,Restless
overeating,OVEREATING,Overeating
oversleeping,OVERSLEEPING,Oversleeping
akathisia,AKATHISIA,Akathisia
not being able to fit into summer wardrobe,NOT BEING ABLE TO FIT INTO SUMMER WARDROBE,Not Being Able To Fit Into Summer Wardrobe
put on weight,PUT ON WEIGHT,Put On Weight
sluggish,SLUGGISH,Sluggish
going off of olanzapine is no picnic,GOING OFF OF OLANZAPINE IS NO PICNIC,Going Off Of Olanzapine Is No Picnic
weight still keeps coming,WEIGHT STILL KEEPS COMING,Weight Still Keeps Coming
look like a whale,LOOK LIKE A WHALE,Look Like A Whale
interfering with my visions,INTERFERING WITH MY VISIONS,Interfering With My Visions
difficult to come off,DIFFICULT TO COME OFF,Difficult To Come Off
weightgain,WEIGHTGAIN,Weightgain
sloth,SLOTH,Sloth
slept aw day,SLEPT AW DAY,Slept Aw Day
torn faced,TORN FACED,Torn Faced
swollen feet,SWOLLEN FEET,Swollen Feet
symptoms of schizophrenia,SYMPTOMS OF SCHIZOPHRENIA,Symptoms Of Schizophrenia
raging bm's,RAGING BM'S,Raging Bm'S
mood swings,MOOD SWINGS,Mood Swings
restless legs,RESTLESS LEGS,Restless Legs
pinsandneedles,PINSANDNEEDLES,Pinsandneedles
fat.,FAT.,Fat.
coming off it,COMING OFF IT,Coming Off It
plateau,PLATEAU,Plateau
behaving oddly,BEHAVING ODDLY,Behaving Oddly
you are so horny and i am not,YOU ARE SO HORNY AND I AM NOT,You Are So Horny And I Am Not
hide in the apartment,HIDE IN THE APARTMENT,Hide In The Apartment
appetite,APPETITE,Appetite
gained over 30lbs,GAINED OVER 30LBS,Gained Over 30Lbs
falling asleep every day,FALLING ASLEEP EVERY DAY,Falling Asleep Every Day
sleeping 12 hours a night,SLEEPING 12 HOURS A NIGHT,Sleeping 12 Hours A Night
gained a good seven or eight pounds,GAINED A GOOD SEVEN OR EIGHT POUNDS,Gained A Good Seven Or Eight Pounds
gained over 20 lbs,GAINED OVER 20 LBS,Gained Over 20 Lbs
terrifying,TERRIFYING,Terrifying
no feelings,NO FEELINGS,No Feelings
working any more,WORKING ANY MORE,Working Any More
water weight,WATER WEIGHT,Water Weight
gain unwanted pounds,GAIN UNWANTED POUNDS,Gain Unwanted Pounds
withdrawn ,WITHDRAWN ,Withdrawn 
making me stupid,MAKING ME STUPID,Making Me Stupid
orgasm,ORGASM,Orgasm
ejaculate,EJACULATE,Ejaculate
not let me sleep,NOT LET ME SLEEP,Not Let Me Sleep
psychotic episode,PSYCHOTIC EPISODE,Psychotic Episode
value your brain cells,VALUE YOUR BRAIN CELLS,Value Your Brain Cells
loss of circulation ,LOSS OF CIRCULATION ,Loss Of Circulation 
face break out,FACE BREAK OUT,Face Break Out
numbing,NUMBING,Numbing
random crying,RANDOM CRYING,Random Crying
instability,INSTABILITY,Instability
twitch,TWITCH,Twitch
eyeballs make a sound,EYEBALLS MAKE A SOUND,Eyeballs Make A Sound
no legit sex,NO LEGIT SEX,No Legit Sex
antsy,ANTSY,Antsy
destroy myself,DESTROY MYSELF,Destroy Myself
need to save the world,NEED TO SAVE THE WORLD,Need To Save The World
scared,SCARED,Scared
dries mouth,DRIES MOUTH,Dries Mouth
added 1 stone,ADDED 1 STONE,Added 1 Stone
ate,ATE,Ate
horrid imposing dream,HORRID IMPOSING DREAM,Horrid Imposing Dream
hunger,HUNGER,Hunger
feeling weird,FEELING WEIRD,Feeling Weird
knackered when i wake,KNACKERED WHEN I WAKE,Knackered When I Wake
hungrier,HUNGRIER,Hungrier
eating,EATING,Eating
fatness,FATNESS,Fatness
weight-gaining,WEIGHT-GAINING,Weight-Gaining
sleep right now,SLEEP RIGHT NOW,Sleep Right Now
need to sleep 24/7,NEED TO SLEEP 24/7,Need To Sleep 24/7
weird,WEIRD,Weird
restlesslegs,RESTLESSLEGS,Restlesslegs
hangovers,HANGOVERS,Hangovers
hallucinate ,HALLUCINATE ,Hallucinate 
lucid dreaming,LUCID DREAMING,Lucid Dreaming
not dangerous but it is damn unpleasant,NOT DANGEROUS BUT IT IS DAMN UNPLEASANT,Not Dangerous But It Is Damn Unpleasant
able to sleep at night,ABLE TO SLEEP AT NIGHT,Able To Sleep At Night
slur,SLUR,Slur
fast pulse,FAST PULSE,Fast Pulse
knocked me sidewards,KNOCKED ME SIDEWARDS,Knocked Me Sidewards
slept horribly,SLEPT HORRIBLY,Slept Horribly
drooling,DROOLING,Drooling
get out of bed,GET OUT OF BED,Get Out Of Bed
taste,TASTE,Taste
eating incredibly differently,EATING INCREDIBLY DIFFERENTLY,Eating Incredibly Differently
sleep 12+ hours,SLEEP 12+ HOURS,Sleep 12+ Hours
burnt,BURNT,Burnt
increased appetite,INCREASED APPETITE,Increased Appetite
not stay up,NOT STAY UP,Not Stay Up
prolactin,PROLACTIN,Prolactin
aching knees,ACHING KNEES,Aching Knees
ache,ACHE,Ache
limping ,LIMPING ,Limping 
should ache,SHOULD ACHE,Should Ache
knee ache,KNEE ACHE,Knee Ache
neck,NECK,Neck
not hungry,NOT HUNGRY,Not Hungry
back,BACK,Back
knee pain,KNEE PAIN,Knee Pain
walking painful,WALKING PAINFUL,Walking Painful
pains in head,PAINS IN HEAD,Pains In Head
hip,HIP,Hip
neck pain,NECK PAIN,Neck Pain
legs still weak,LEGS STILL WEAK,Legs Still Weak
musculo-skeletal pain,MUSCULO-SKELETAL PAIN,Musculo-Skeletal Pain
oedema,OEDEMA,Oedema
aching,ACHING,Aching
lost 10 pounds,LOST 10 POUNDS,Lost 10 Pounds
slept 11 hours,SLEPT 11 HOURS,Slept 11 Hours
slow turtle,SLOW TURTLE,Slow Turtle
gotta wake up,GOTTA WAKE UP,Gotta Wake Up
boner kryptonite,BONER KRYPTONITE,Boner Kryptonite
dissociation,DISSOCIATION,Dissociation
stacked on the weight,STACKED ON THE WEIGHT,Stacked On The Weight
sedated ,SEDATED ,Sedated 
unconscious,UNCONSCIOUS,Unconscious
mute,MUTE,Mute
don't want to get up,DON'T WANT TO GET UP,Don'T Want To Get Up
weird dreams,WEIRD DREAMS,Weird Dreams
cant get up,CANT GET UP,Cant Get Up
don't sleep,DON'T SLEEP,Don'T Sleep
knock me the fuck out ,KNOCK ME THE FUCK OUT ,Knock Me The Fuck Out 
jitters,JITTERS,Jitters
17h sleep,17H SLEEP,17H Sleep
tolerance to the sun,TOLERANCE TO THE SUN,Tolerance To The Sun
rocking,ROCKING,Rocking
jolting,JOLTING,Jolting
sleep for 12 hours,SLEEP FOR 12 HOURS,Sleep For 12 Hours
gain alot of weight,GAIN ALOT OF WEIGHT,Gain Alot Of Weight
fucked up dreams,FUCKED UP DREAMS,Fucked Up Dreams
psychosis,PSYCHOSIS,Psychosis
feel so drink,FEEL SO DRINK,Feel So Drink
nauseated,NAUSEATED,Nauseated
cant really walk,CANT REALLY WALK,Cant Really Walk
sleep for 15+ hours,SLEEP FOR 15+ HOURS,Sleep For 15+ Hours
coma,COMA,Coma
floatin,FLOATIN,Floatin
gaps in memory,GAPS IN MEMORY,Gaps In Memory
manic reactions,MANIC REACTIONS,Manic Reactions
convulsions,CONVULSIONS,Convulsions
toxic reactions,TOXIC REACTIONS,Toxic Reactions
fever,FEVER,Fever
psychotic reactions,PSYCHOTIC REACTIONS,Psychotic Reactions
gained 50,GAINED 50,Gained 50
knocks you outttttttt,KNOCKS YOU OUTTTTTTTT,Knocks You Outttttttt
crazy town,CRAZY TOWN,Crazy Town
overheating,OVERHEATING,Overheating
eat so much,EAT SO MUCH,Eat So Much
only let me sleep four hours,ONLY LET ME SLEEP FOUR HOURS,Only Let Me Sleep Four Hours
make those numbers bigger,MAKE THOSE NUMBERS BIGGER,Make Those Numbers Bigger
mania,MANIA,Mania
knocked on my ass,KNOCKED ON MY ASS,Knocked On My Ass
eat a lot,EAT A LOT,Eat A Lot
diabetes risk,DIABETES RISK,Diabetes Risk
 sleeping 18 hrs a day , SLEEPING 18 HRS A DAY , Sleeping 18 Hrs A Day 
retarded,RETARDED,Retarded
need to be awake,NEED TO BE AWAKE,Need To Be Awake
hardly open or close your mouth,HARDLY OPEN OR CLOSE YOUR MOUTH,Hardly Open Or Close Your Mouth
feel like death,FEEL LIKE DEATH,Feel Like Death
hotflashes,HOTFLASHES,Hotflashes
hit hard,HIT HARD,Hit Hard
diabetes,DIABETES,Diabetes
 tremors, TREMORS, Tremors
difficult to wake up,DIFFICULT TO WAKE UP,Difficult To Wake Up
drip,DRIP,Drip
last night i was a mermaid and then a wizard who had to save the world while being hunted by the japanese,LAST NIGHT I WAS A MERMAID AND THEN A WIZARD WHO HAD TO SAVE THE WORLD WHILE BEING HUNTED BY THE JAPANESE,Last Night I Was A Mermaid And Then A Wizard Who Had To Save The World While Being Hunted By The Japanese
slept through every alarm,SLEPT THROUGH EVERY ALARM,Slept Through Every Alarm
sleeping 9 hours in the day,SLEEPING 9 HOURS IN THE DAY,Sleeping 9 Hours In The Day
confusion,CONFUSION,Confusion
deliriousness,DELIRIOUSNESS,Deliriousness
nauesousness,NAUESOUSNESS,Nauesousness
sleep for like 12 hours,SLEEP FOR LIKE 12 HOURS,Sleep For Like 12 Hours
hungover,HUNGOVER,Hungover
wont wake,WONT WAKE,Wont Wake
horrible sleep,HORRIBLE SLEEP,Horrible Sleep
yawning,YAWNING,Yawning
vision blurry,VISION BLURRY,Vision Blurry
just now wake up,JUST NOW WAKE UP,Just Now Wake Up
bone,BONE,Bone
resisting it,RESISTING IT,Resisting It
brain disorder,BRAIN DISORDER,Brain Disorder
itchy,ITCHY,Itchy
neck was red,NECK WAS RED,Neck Was Red
bruises,BRUISES,Bruises
limbs ached,LIMBS ACHED,Limbs Ached
coming of it was horrific,COMING OF IT WAS HORRIFIC,Coming Of It Was Horrific
screwing up my sleep,SCREWING UP MY SLEEP,Screwing Up My Sleep
acid like trips,ACID LIKE TRIPS,Acid Like Trips
head pain,HEAD PAIN,Head Pain
stomach,STOMACH,Stomach
15 hours sleep,15 HOURS SLEEP,15 Hours Sleep
walking dead,WALKING DEAD,Walking Dead
messing with my sleep,MESSING WITH MY SLEEP,Messing With My Sleep
wrecking my sleep,WRECKING MY SLEEP,Wrecking My Sleep
mixed episode,MIXED EPISODE,Mixed Episode
nasty,NASTY,Nasty
throw chairs,THROW CHAIRS,Throw Chairs
feeling like shit,FEELING LIKE SHIT,Feeling Like Shit
sprayed hairspray all over my tongue,SPRAYED HAIRSPRAY ALL OVER MY TONGUE,Sprayed Hairspray All Over My Tongue
brain feels like its actually vibrating,BRAIN FEELS LIKE ITS ACTUALLY VIBRATING,Brain Feels Like Its Actually Vibrating
overreacted,OVERREACTED,Overreacted
sedative,SEDATIVE,Sedative
horrendous venlafaxine dream,HORRENDOUS VENLAFAXINE DREAM,Horrendous Venlafaxine Dream
sucked going from 100mg desvenlafaxine / day to zero,SUCKED GOING FROM 100MG DESVENLAFAXINE / DAY TO ZERO,Sucked Going From 100Mg Desvenlafaxine / Day To Zero
vision shake,VISION SHAKE,Vision Shake
palpitate,PALPITATE,Palpitate
breath smells,BREATH SMELLS,Breath Smells
digestive system,DIGESTIVE SYSTEM,Digestive System
drive me crazy,DRIVE ME CRAZY,Drive Me Crazy
feelin weird,FEELIN WEIRD,Feelin Weird
